fullname,rollno,maths,physics,chemistry,biology
Merrile Speares,47982,60,83,11,22
Prentiss Ortells,50407,53,85,87,35
Dara Ricca,66706,6,58,15,24
Igor Gylle,40095,2,96,29,12
Livia Robbeke,13146,56,64,48,27
Gonzalo Withinshaw,16258,68,68,41,98
Nicolette Smitton,75728,81,68,34,6
Jessika Ochterlonie,36082,79,53,39,50
Aubrey Callaghan,86836,62,80,87,41
Claiborne Cran,84908,89,52,78,21
Tucker Horbath,32805,82,68,97,16
Dukie Pendle,62943,83,10,3,77
Dode Bonnette,29646,58,10,98,63
Veronike Aubin,37410,90,9,86,94
Chiarra Spink,65928,71,58,93,80
Maury Surplice,84332,57,16,80,95
Jefferson Klug,85457,88,25,64,71
Domenico Bosche,36944,12,23,48,90
Aguie Braizier,29106,77,22,52,47
Lily Hugueville,68769,34,70,94,19
Anna-maria Docksey,83967,74,74,38,12
Clarance Petrak,23895,87,49,93,9
Jewelle Jardein,60489,2,8,94,34
Karole Bagwell,99349,22,60,28,99
Niki Fancett,13405,46,4,21,31
Laverna Openshaw,43173,35,38,87,70
Alf Brett,34605,25,54,63,27
Alissa Averies,62853,89,25,20,13
Genny Morcomb,97945,67,24,17,44
Nerti Allison,53689,29,72,82,31
Carmela Vater,18251,88,94,13,78
Benn Bortoluzzi,95751,54,75,81,37
Renell Peetermann,18803,42,17,48,92
Hansiain Hendrick,69383,23,17,37,66
Cindelyn Justice,18936,9,26,81,25
Charlot Hairyes,25883,42,55,12,2
Ezri Catchpole,44732,69,62,88,50
Rosemarie Burlingame,52013,53,31,5,69
Mikaela Emmanuele,88901,26,30,67,4
Phyllida Sommersett,28600,82,38,65,64
Adaline Rabier,16047,55,35,5,30
Cleon Nannoni,91228,19,12,26,66
Greg Stollenbeck,78494,88,61,43,36
Anna-maria Thormwell,38975,6,13,74,99
Zeb Gronaller,77701,61,68,60,8
Cyril Halson,65215,72,56,7,60
Rivkah Campione,59892,53,12,87,74
Clementine Kleyn,23273,98,80,88,56
Arlin Golsthorp,73953,1,37,26,4
Mufi Shower,94914,76,21,84,61
